iter	Quantile:alpha=0.5
308	0.2737740137
309	0.2736269915
310	0.2735079355
311	0.2734691473
312	0.2733849555
313	0.2732915887
314	0.2732148594
315	0.2731216636
316	0.273032622
317	0.2729572229
318	0.2728733875
319	0.2728039341
320	0.2727430719
321	0.2726288542
322	0.2725541851
323	0.2724675124
324	0.272400726
325	0.2723043205
326	0.2721631115
327	0.272051368
328	0.2719690797
329	0.271889634
330	0.2718319058
331	0.2717581418
332	0.2716926635
333	0.2716129966
334	0.271514025
335	0.2714131548
336	0.2713262958
337	0.2712447413
338	0.2711523307
339	0.2710499016
340	0.2709788743
341	0.2709043056
342	0.27079871
343	0.2707023763
344	0.270635935
345	0.2705691003
346	0.2704912339
347	0.2704099775
348	0.2703549617
349	0.2702811841
350	0.270239643
351	0.2701291365
352	0.2700754057
353	0.2700271932
354	0.2699633898
355	0.2698759408
356	0.2698272186
357	0.2697517963
358	0.2696659648
359	0.2695706509
360	0.2695095996
361	0.2693999998
362	0.2693280345
363	0.2691856637
364	0.2691106096
365	0.2690280423
366	0.2689598792
367	0.2689038405
368	0.2688380454
369	0.2687153155
370	0.2686391203
371	0.268601799
372	0.2685265855
373	0.2684320547
374	0.2683521676
375	0.2682876844
376	0.2681999319
377	0.268124795
378	0.268071076
379	0.2679859391
380	0.2678872202
381	0.2677980808
382	0.2676983139
383	0.2676279842
384	0.2675591116
385	0.26747165
386	0.267399852
387	0.2673192358
388	0.2672375412
389	0.267125982
390	0.2670627558
391	0.2670053295
392	0.266914364
393	0.2668295624
394	0.2667537367
395	0.2666534326
396	0.2665690984
397	0.2664620819
398	0.2663971226
399	0.2663325365
400	0.2662324433
401	0.2661696401
402	0.2660955713
403	0.2660086296
404	0.2659293926
405	0.2658759956
406	0.2658203685
407	0.2657572026
408	0.2656340361
409	0.2656029155
410	0.2654969416
411	0.2654082668
412	0.2653416732
413	0.2652445033
414	0.2651847745
415	0.2651099965
416	0.2650687986
417	0.2650003954
418	0.2649517057
419	0.2648651533
420	0.2647883512
421	0.2647476057
422	0.2646847377
423	0.264640242
424	0.2645647385
425	0.2645005006
426	0.2644118075
427	0.2643584997
428	0.2643007858
429	0.2642556458
430	0.2641602436
431	0.2640919451
432	0.2640400017
433	0.2639412485
434	0.2638605335
435	0.2637750265
436	0.2637240936
437	0.2636517195
438	0.2636050653
439	0.2635320587
440	0.263447635
441	0.2633768413
442	0.2633250932
443	0.2632716657
444	0.263197187
445	0.2631189543
446	0.2630349787
447	0.2629842994
448	0.2629419561
449	0.2629099628
450	0.2628579182
451	0.2628124784
452	0.2627609055
453	0.2627179214
454	0.2626445809
455	0.262578921
456	0.2625024455
457	0.2624520368
458	0.2624005804
459	0.2623534257
460	0.2622931741
461	0.2622148989
462	0.2621497915
463	0.262106608
464	0.2620481067
465	0.2619857153
466	0.2619261836
467	0.2618639725
468	0.2617964791
469	0.2617428016
470	0.2617054744
471	0.2616513226
472	0.2615539467
473	0.2615009793
474	0.2614533171
475	0.2613967974
476	0.2613113751
477	0.2612648573
478	0.2611927593
479	0.2611124963
480	0.261028697
481	0.2609362166
482	0.2608442643
483	0.260827973
484	0.2607945521
485	0.2607153653
486	0.2606600424
487	0.2605900676
488	0.2605502251
489	0.2604959326
490	0.260445238
491	0.2603792849
492	0.2603394982
493	0.2603023763
494	0.2602385421
495	0.2601565204
496	0.2601072778
497	0.2600527668
498	0.2600241359
499	0.259970755
